0.001204,0.000303,0.000797,0.000948,0.006812,0.000014,-79.998634,-4.428000,-0.508500,-4.196000,-0.253000,-4.452000,0.097600,-0.916800,0.000000
0.001204,0.000306,0.000790,0.000934,0.006832,0.000014,-79.998634,-4.437000,-0.475500,-4.188000,-0.234000,-4.392800,0.071200,-0.971200,0.000000
0.001190,0.000300,0.000769,0.000948,0.006825,0.000014,-79.998650,-4.425000,-0.517500,-4.188000,-0.270000,-4.436000,0.098400,-0.903200,0.000000
0.001207,0.000286,0.000776,0.000941,0.006846,0.000014,-79.998627,-4.459500,-0.544500,-4.174000,-0.253000,-4.376800,0.068000,-0.907200,0.000000
0.001202,0.000289,0.000790,0.000948,0.006839,0.000014,-79.998642,-4.444500,-0.541500,-4.205000,-0.262000,-4.356000,0.064800,-0.969600,0.000000
0.001210,0.000275,0.000776,0.000961,0.006825,0.000014,-79.998634,-4.453500,-0.492000,-4.147000,-0.242000,-4.454400,0.158400,-0.919200,0.000000
0.001204,0.000300,0.000776,0.000948,0.006832,0.000021,-79.998642,-4.482000,-0.504000,-4.176000,-0.244000,-4.384800,0.141600,-0.893600,0.000000
0.001210,0.000295,0.000762,0.000954,0.006805,0.000014,-79.998642,-4.486500,-0.544500,-4.174000,-0.247000,-4.427200,0.014400,-0.951200,0.000000
0.001193,0.000298,0.000783,0.000948,0.006839,0.000014,-79.998634,-4.455000,-0.495000,-4.163000,-0.255000,-4.382400,0.159200,-0.912000,0.000000
0.001202,0.000298,0.000769,0.000927,0.006832,0.000014,-79.998650,-4.440000,-0.519000,-4.157000,-0.237000,-4.488800,0.047200,-0.913600,0.000000
0.001204,0.000315,0.000783,0.000954,0.006853,0.000014,-79.998642,-4.447500,-0.477000,-4.155000,-0.254000,-4.454400,0.112800,-0.940000,0.000000
0.001207,0.000303,0.000790,0.000948,0.006825,0.000014,-79.998627,-4.420500,-0.520500,-4.159000,-0.292000,-4.469600,0.138400,-0.940800,0.000000
0.001190,0.000292,0.000755,0.000934,0.006825,0.000014,-79.998657,-4.444500,-0.525000,-4.169000,-0.276000,-4.443200,0.100800,-0.935200,0.000000
0.001202,0.000300,0.000803,0.000954,0.006832,0.000014,-79.998650,-4.438500,-0.501000,-4.162000,-0.247000,-4.467200,0.013600,-0.907200,0.000000
0.001210,0.000289,0.000769,0.000934,0.006832,0.000014,-79.998650,-4.431000,-0.487500,-4.203000,-0.258000,-4.428000,0.132800,-0.888000,0.000000
0.001187,0.000312,0.000769,0.000954,0.006832,0.000014,-79.998642,-4.435500,-0.517500,-4.168000,-0.273000,-4.488000,0.029600,-0.897600,0.000000
0.001202,0.000303,0.000769,0.000934,0.006839,0.000007,-79.998627,-4.455000,-0.517500,-4.172000,-0.292000,-4.431200,0.064000,-0.916000,0.000000
